sentiment,text_preprocessed
0,eropa campur kapai biar prabowo menang nikel jual murah
1,ganjar mahfud bija paja sifat inklusif berat warga juara
0,debat cawapres gus muhaimin
0,selamat pagi sahabat ganjar mahfud semangat
1,ganjar mahfud sinergi perin pusat daerah susun bija paja adil juara
-1,prabowo bohong usak demokrasi usak
0,prabowo hati sial salah tembak ini anies berani
0,bismillah moga baik dapat ganjar mahfud maju jalan positif
-1,muhaimin iskandar calon wakil presiden sok asyik masuk akal
0,kayak gibran deh mbak serang
1,ganjar mahfud pandang dagang jembatan utama erat hubung diplomatik indonesia negara negara hebat
1,mas ganjar pekerja migran akses pendidikan layak ganjar pranowo rakyat buat rakyat
1,amin rakyat anies muhaimin presiden wakil presiden
0,lawak
0,capresnya anies ha
0,jokowi prabowo
0,akademisi politik praktis hilang intelektualitasnya malu suruh baca sejarah socrates saudara sosial transformasi peter f drucker hancur sdm nkri tanggung ptn akademisi introspeksi
1,ganjar mahfud hebat chng
0,gagas otentik gagas kosmetik mahfud gibran tom lembong mahkamah konstitusi ngabali coki jijik cebok sombong tengil
0,lagu salam waras anies muhaimin via
0,tanya jawab hilirisasi sombong
1,banyak dukung ganjar mahfud pasti positif
0,al fatihah banget kah
-1,pilih pimpin baik midah emosi sih
1,orang anies sarjana ekonomi ha balik ajar ekonomi senyum taman ahn bagus aduh ganteng
1,ganjar mahfud pandang anggar negara instrumen wujud indonesia top
1,pks komitmen dukung anies muhaimin wujud ubah konkret bidang pendidikan generasi terus pilih pks coblos amin
0,deh bicara sopan santun isi bicara gibran bicara hasil kebanyakan opini fakta beda
0,warga lebak barang harga sandiaga ppp menang ganjar presiden
0,cakap menteri
0,visi misi capres anies tegak hukum adil prabowo wakaf nyawa juang ham ganjar perata bangun
1,komitmen ganjar mahfud tingkat efisiensi kelola anggar landas kuat bangun lanjut hebat sat set
-1,rumah beda atmosfer kentara kait dukung prabowo salatiga kebanyakan teman teman puji anies kritik prabowo tangerang puji prabowo pilih ganjar kritik anies
0,daniel mati bumper prabowo prabowo lindung akhirat pakai otak siap mati
0,si gibran maju cawapres normal normal kah pelanggarannya kah langgar etik kah calon presiden tanah ribu hektar normal kah prajurit tinggal
0,prabowo
0,anies kritik kinerja menhan orang anies pelet pelet ejek coba gaung debat kemarin capres gesturnya ejek lawan
0,acara ganjar segan kritik apresiasi seniman muda negeri
0,dukung jokowi kali dukung prabowo hati nurani
0,indonesia anies muhaimin presiden ragu pasti coblos menang
1,lindung sosial adaptif kalimat tutup komitmen nyata ganjar mahfud visi misi ganjar memahfud
0,tim pakai popok
0,ganjar komentar prabowo putus lahir mkmk mas ganjar rakyat lihat rakyat pandai rakyat iya proses apa ha
0,muhaimin iskandar bawah ubah khusus damping salam natal
0,gibran sok sokan bicara temu masyarakat adat dialog bapak kuasa penuh abai anak wapres
1,komunikasi buka ganjar mahfud masyarakat pilar utama bangun percaya bija kelola anggar jalan top
1,ganjar mahfud indonesia cerah visi misi ganjar memahfud
0,gus muhaimin tawar program libat unsur masyarakat henti proyek masalah rusak lingkung gagal
0,debat malam gibran kuliah anak kuliah hormat profesor
0,menang amin murni strategi anies rekam jejak jabar bangun persepsi persepsi bangun malam rekam jejak juang juang bayar organik
0,ngaciro
-1,parah anies serang personal prabowo cerai duda nikah iya tuhan
1,ganjar sosok ajar betapa indah toleransi
0,ibu komentar pas prabowo cemooh anies omong omon
1,ganjar mahfud komitmen tingkat kualitas layan ditjen pajak penuh harap masyarakat juara sat set
0,iya allah jadi anies muhaimin presiden wakil presiden indonesia amin iya rabbal alami
0,mus masak teman kayak enak mengerti masak
1,komitmen ganjar mahfud embang infrastruktur fondasi dukung lancar giat dagang top sat set
-1,insya allah anies baswedan
1,anies imin tingkat sejahtera sosial dekat multi sektor target turun tingkat miskin maret miskin ekstrem
0,prabowo etika anies respon substansial respon prabowo personal iya serang personal ungkit ungkit jasa kocak
1,tugas anies berat cerdas bangsa susah mustahil bangsa isi pejabat sengaja bodoh rakyat nya kepiting
0,pikir pilih presiden partai nya lihat lacak rekam anies jabat dki said lindung perempuan
1,pilih anies dalang suryo paloh ganjar pasti megawati prabowo jokowi bukti keras bangun indonesia pesat fondasi letak terus indonesia maju prabowo gibran konsisten terus
1,pimpin ganjar mahfud indonesia pusat inovasi embang teknologi kait dagang top sat set
-1,prabowo gibran rekayasa hukum hancur
1,sukses gus muhaimin
0,insya allah menang putar semangat
1,ganjar mahfud duo hebat paham isu masyarakat miskin detail visi misi ganjar memahfud
0,guru anies hasil ambil wakil anies ganjar
0,gibran sok sok an masak pas eh cepat habis bensin acau kes kena cak imin kebanyakan salah ceroboh slepetnomic kontradiktif anies menstabilkan telat mahfud kecewa penyerangan agresif
0,saking munafik nya berani nyinyir acara nya malam saking harap nya alih suara beda cerita acara malam nyinyir munafik nya
-1,anies omong kerja gibran omong kerja janji kirim
-1,pilih prabowo gibran bahaya demokrasi indonesia
0,moga umur sehat
1,visi ganjar mahfud cipta peluang bisnis tingkat sejahtera masyarakat juara sat set
0,calon wakil presiden nomor urut muhaimin iskandar cak imin ikut debat cawapres jumat desember wib kantor kpu jakarta tema debat cawapres ekonomi
0,debat anies ofensif prabowo nya kuasa materi debat
0,tibang ngangeti sing wis masak karo mas anies wae min imin
0,riset keluarga anies suruh cari prabowo lihat malam debat pilpres prabowo diobok obok anies ganjar
-1,ogah pilih alas ganjar periode jalan desa rusak parah jawa provinsi miskin parah ahli tata orang munafik suka bodoh rakyat dukung ormas islam radikal
1,basis dukung kuat muhaimin iskandar salah tokoh populer kalang ulama kelompok islam moderat indonesia dukung pkb jaring milik basis dukung kuat pilih islam indonesia
0,oposisi bayang hati orang tua anies anak bunuh pilpres
0,pengaruh saudara notabene lulus sarjana pilih kasihan prabowo peduli cawapresnya tukang tabrak etika
0,ragu mas gibran ide ide genius
0,malu mah prabowo rujak anies oposisi eh amuk amuk
0,calon wakil presiden nomor urut gibran rakabuming raka global islamik ekonomi sgie cawapres nomor urut muhaimin iskandar tum pkb gibr memuhaim sgie cak imin
0,pos ulang cawapres usung partai perindo mahfud md mimpi indonesia negara tegak hukum adil bebas korupsi
1,alumni ui deklarasi dukung anies baswedan muhaimin iskandar
0,oh iya anies masuk pks bagi menteri butuh dukung kasih timbal pks prabowo ganti anies prabowonya begitu si
0,ondeh lai aman saran ambo pergi gerindra cari partai aktif pareso lai
0,pura pura lupa katai politik aji mumpung sehat demokrasi ha arang karu karuan
0,tuding sesat anies ingat prabowo emosional hadap negara
1,amin indonesia sejahtera pilih anies muhaimin
1,visi anies muhaimin jamin sedia layan sehat dasar perhati perata fasilitas medis kuat upaya cegah penyakit
-1,waras sih puji anies realitas nalar
1,ganjar mahfud wakil harap ubah positif kelola uang negara fokus sejahtera masyarakat juara
0,anies agus singkat mantap anies imin ha
1,mahfud visioner ganjar tanah pecah bentuk tandem panggung politik juara sat set
0,prabowo gibran kuasa ilmu dunia
-1,trisakti panglima abri nya iya
1,bukti beliau cerdas ganjar anies kalah
0,wow begitu cari suka tweetnya mas gibran dukung mas gibr
0,pungkir salah untung gibran orang orang pilih gibr jadi cawapres prabowo timbang anak presiden
0,responnya capres nomor diunggak eko adil biar anies bogenya amin bolos lagu anak anak
-1,debat anies baswedan baik retorika bagus hafal gubernur sukses walikota karya wawas negeri solo jujur lempar putar rakyat pekok
1,saing jawa ketat sosok paslon unggul survei capres baru jawa timur prabowo gibran persen anies muhaimin persen ganjar mahfud persen persen via
1,lihat dingin mas gibran pada
0,ahok mundur dukung pecinta ahok kemarin tetiba dukung anies pindah dukung ganjar
1,moga provinsi diaspora indonesia dunia hidayah pilih anies baswedan muhaimin iskandar presiden wakil presiden pilpres amin amin
0,jahat narasi si bang densi fakta gibran cupu bayang sesak iya kupas imin gas dabrus capresnya mbah mahfud tensi lo malam diam bahas
1,anies penuh ide gagas cemerlang mari mandat presiden nkri
0,fitnah jalan cawapres salah hakim nya pecat fitnah gibran anak jokowi kuli pabrik ha maaf hore zaman cari kerja susah presiden cari pekerjaan
0,calon presiden nomor urut anies baswedan sebut ribu guru honorer angkat pegawai perin janji kerja pppk
0,ganjar hasil bungkam prabowo jokowi baris jenderal dukung prabowo ganjar hancur jokow khianat keluarga nya
0,anies jaim rakyat orang pintar kalem
0,curiga ganjar mahfud anies muhaimin gc bikin resep masak el gemoi ha
1,ganjar mahfud bija paja adaptif responsif kembang ekonomi global juara sat set
0,biar pancing iya cak imin ajar anies iya tau gibran serang bawa tom lembong
1,anies muhaimin satu komitmen kuat dorong tumbuh sektor tani
1,ganjar contoh pimpin ramah rendah hati sapa warga nya
1,anies muhaimin pimpin cerdas kritikan nya adil
0,pimpin inklusif ganjar mahfud libat pelaku usaha rumus bija dagang top
1,sehat sehat anies salah pilih pasang
1,ganjar mahfud bangun mitra kuat perin swasta dukung tumbuh dagang juara
0,harap prabowo menang debat malam bidang beliau eh salah prabowo imbang lawan adu argumen data ganjar kecewa rasa prabowo kapai
0,dukung berhala jokowi apa nyata prabowo perhati
0,pikir mbak kubu prabowo suka serang musuh anak cucu pki mau pasang putu buyut pki iya
1,pilih ganjar mahfud langkah maju dorong inovasi kelola uang perin juara
0,nazar doa kabul allah jaga orang harap lengah rakyat jaga anies muhaimin
0,ha opung manusia serba opung rambut hitam iya sakit rambut putih prabowo presiden opung atur ini negara
1,semangat kebaikan dukung ganjar
0,bismillah anies muhaimin
0,tiga salam anies wartawan tua anies anies sikap angkuh muncul menang kali putar
0,ea debat malam lo prabowo hasil kerja eh hasil kerja beli alutsista itu bekas
0,anies ganjar melawan gemoi tuan
0,fahri pura pura bodoh debat malam tonton rakyat indonesia dunia prabowo kuasa materi debat tahan aman borok kuak kendali emosi
0,ganjar mahfud komitmen hadir bija kuat daulat pangan dagang adil top sat set
0,zonk elektabilitas anies imin salip ganjar bilang zonk
1,sehat mental isu ganjar mahfud aksi konkret patut acung jempol visi misi ganjar memahfud
0,hakim tuju paman nya gibran kocak si ini orang
1,amin allahumma amin moga ganjar mahfud menang putar
1,gibran bagus tanya moderator
1,pks anies muhaimin pilih wujud visi adil makmur pilih pks coblos amin
0,mesti tulis sanggah anies prabowo dapat anies hak bicara etika anies dapat fokus hukum pena nya harap adil tulis berita
0,anies singgung kualitas gibran butuh aspek substantif cari google
0,raut wajah prabowo haru sumpah tuhan puluh dukung beliau lihat raut wajah taruh hormat pada pilih
0,wan bacot jual tukang tipu dukung sadar maki prabowo debat ha
-1,gibran anak haram konstitusi anak malu kuasa
0,anies sandera modal partai minim nasdem acuh acuh besar relawan
0,prabowo gaya menhan bangga ambyar pimpin model laku wasalam
0,anjir mati hati nurani mending diam om
1,alhamdulillah jakarta anies
1,doa pasang capres cawapres anies baswedan a muhaimin iskandar lancar jernih pikir amin
0,etika tinggi perilaku cermin bangga bangga bangga debat gus muhaimin abah anies
0,sehat mental prioritas nyata langkah langkah konkret ganjar mahfud bukti komitmen indonesia visi misi ganjar memahfud
1,generasi kali iya dki jaka sambut komitmen mahfud md ganjar pranowo berantas kkn animmuhammed ganjar sikat korupsi lanjut murah lanjut kerja ganjar bersih kuat kpk hebat ganjar presiden lanjut bansos rakyat
0,pilih anies maksud nya
0,survei lemah
0,konsep awur
0,pas maaf mas gibran moga pakai dengar mas gibr taruh perhati kepada debat kali milenial potensi
0,dahnil sok ekonomi hijau perin solusi hapus batu bara penembakan kuat tumbuh batu bara oligarki dukung paslon jawa listrik gantung plta barat timur
0,deh samsul terima
0,anies ganjar menang ruang kecewa jalan janji janji prabowo menang iya ambil nyawa
0,orang bodoh kerja cari cuan
0,tonton tonton ha
0,rosan connie bicara rekam connie koar koar sederhana connie gibran mati prabowo orang jahat hati busuk dengar mulut hati pohon apel buah kompeten hati jahat mulut jahat sekakmat
1,terima kasih gus muhaimin jawab moga etika ubah hei anak anak gen tiru iya
0,gibran debat cawapres malu cak imin mahfud balas tho sakit tho
-1,anies ganjar pukau sisi konsep teori sori prabowo aki aki tua keroyok gagas konsep usung
0,si berani debat sandal jepit
1,pks anies muhaimin satu wujud mandiri energi daulat indonesia kancah global pilih pks coblos amin
0,kutip isi eyang malam iya kosong joget min tangis
1,dukung penuh pks anies muhaimin komitmen lindung hak hak perempuan anak pilih pks coblos amin
0,gus muhaimin paham singkat besok kurang omong slepetnya iya takut keslepet malam makan indomie warmindo lumayan stres
0,amat militer connie rahakundini bakrie sanggah nyata rosan roeslani ketua tim kampanye nasional prabowo subianto gibran rakabuming raka
0,orang bodoh termakan video potong argumen idiot
0,pilih anies mvp kali akui ganjar
1,latar rekam jejak solid ganjar mahfud bawa ubah positif optimalisasi sumber dapat negara juara sat set
0,lucu udara ktp sana kemari polusi udara atur hebat
0,salah mas baca verdok nya lembaga keris
0,bicara iya anggar logistik tambah bos kali iya
0,prabowo butuh gerbong jokowi gerbong oposisi pindah koalisi jokow simpel
0,gila gaya diksi cak imin intoleransi ekonomi muhaimin iskandar anak laki laki thohir lawan intolerans ekonomi
0,sih baca pesan laku ganjar debat malam bareng bareng
0,wajar orang khawatir negara pimpin orang mengerti etika makzul boleh oke konstitusi usia cawapres
0,anies beda kelas muhaimin
-1,lihat tiktok politik indonesia bilang anies omong susah mengerti serius jujur salah contoh susah mengerti
0,provokator kelas teri anies bukti dki ayom agama jual basi kali sori hore sori
0,temu pas kampanye anies lumrah harga ganjar debat konteks sisi manusia budi pekerti salah aspek
0,si tompi pas pipis prabowo rendah anies nyata anies gubernur
0,tunggu panggung gibran mas bikin diri
1,anies kerja kerja kibul orang
0,bismillah
0,tutup nyata rasa debat februari salah pilih anies muhaimin
1,subhanallah anies moga anies jadi presiden allah swt moga cinta rakyat
0,saudara
0,gibran gus muhaimin lucu iya cak imin
0,pasca debat cawapres pasang nomor urut anies baswedan muhaimin iskandar kunjung rumah wakil presiden jusuf kalla jalan brawijaya jakarta selatan jumat adp
1,anies petarung sejat meng si gemoi
0,dukung samsul mengerti etika debat iya samsul intimidasi lawan istilah asing atur kpu istilah asing iya maksud anies bentuk kritik katai orang bodoh
1,ganjar mahfud usul ubah direktorat jenderal pajak sahabat mudah mengerti masyarakat juara sat set
0,sih takut alam oh iya capres alam cawapres nya level alam istri putra ganjar tentu arah menang ganjar mahfud
0,komisi pilih kpu ri terima daftar pasang capres cawapres anies baswedan muhaimin iskandar prabowo subianto
1,aku kinerja ganjar bukti bija ganjar ambil libat orang manfaat rakyat
1,mantap ini dukung ganjar sejahtera nelayan hapus kredit macet nelayan
1,hasil ganjar mahfud paham seluk beluk hukum ekonomi unggul kompetitif mengemban tugas pimpin top sat set
0,ganjar borong dagang milik lansia
0,kompensasi prabowo begitu mana gigi
1,merah bendera pdi semangat dukung ganjar mahfud
-1,ganjar mahfud prabowo gibran anies muhaimin otong koil presiden
1,merah bukti melambang berani semangat ganjar pranowo mahfud md
0,pimpin serang personal serang personal bukti karakter jahat presiden rakyat kritik bungkam untung prabowo gambar salut oh iya dua omong nilai tahan sungguh picik
1,program anies muhaimin tingkat akses layan sehat anak perhati asupan gizi sehat dukung awat pre natal pos natal
-1,survei unggul jabar kayak isu anies pengaruh akar rumput
1,tingkat sejahtera masyarakat tuju utama rencana ganjar mahfud kait reformasi paja top sat set
0,personal serang anies
1,program anies muhaimin kuat akses layan sehat daerah pencil dukung tenaga medis lokal insentif pelayanan medis daerah isolasi
0,lihat rekam tukang fitnah prabowo habis dalam ganjar panggung anies dekat ganjar moderator teriak teriak prabowo panggung
0,catat iya denmas sama mental urus negara mental urus bisnis s doger
0,iya cawapresnya anies capresnya ahli kritis cerdas dosen cawapres senyam senyum bodoh tua alam malu malu indonesia kalah telak samsul alias belimbing sayur manfaat
0,suruh gibran ikuti emak sgie cak imin cerita putus gibr malu deh gibr sgie persis anak sd main tebak tebakan gibr cawapres mutu rendah kacir wawancara wartawan gibr pidato malam persis hafal buku
0,aduh si ganjar
0,hasil mahfud ungkap cuci uang nila rupiah triliun menteri uang komitmen ganjar memahfud integritas bersih uang negara juara
1,pilih mas anies kinerja moga menang amin
1,program anies muhaimin ramping birokrasi tingkat layan publik implementasi teknologi administrasi negara
0,promosi orang orang dekat anti anies anti anies parah indonesia maju anies maju ganjar
1,moga ganjar mahfud presiden ri
1,pilih hati pilih ganjar mahfud tandem hebat maju bangsa
0,iya allah jadi korban gaza orang orang sahid jalan tolong rakyat gaza palestina kuat iman juang ilah menang
1,ganjar mahfud kombinasi sempurna bawa indonesia arah butuh lindung visi misi ganjar memahfud
1,gibran jabat walikota solo kembang solo pesat
0,eh sindir ini anies
1,sama pks anies muhaimin harap wujud cita cita luhur bangsa pilih pks coblos amin
1,sinergi ganjar mahfud masyarakat optimis anggar negara optimal dukung program program pro rakyat top
0,gas ikut dukung prabowo gibran capres cawapres coblos anies muhaimin tps februari
0,lanjut ganjar mahfud gas
0,semangat ganjar mahfud moga sehat pimpin indonesia menang total nomor
0,ganjar mahfud indonesia
1,suka bicara anies
0,ngeri iya kemarin sopan prabowo ha kaca omong etika hina paslon gambar etika mending koreksi deh
0,mahfud gibran
1,sukses pasang anies muhaimin pkb
0,semangat juang ganjar mahfud
0,keren deh ganjar mahfud seru lihat
0,prabowo nilai anies hak bicara etik
1,ahok kalah anies
0,jokowi dukung prabowo gibran mustahil dukung ganjar mahfud dukung anies muhaimin adi prabowo subianto
0,gibran tingkat peringkat indonesia sgie muhaimin nmjh bha bgh gibr gus memuhaim masak
1,program anies muhaimin tingkat akses layan sehat reproduksi remaja edukasi seksualitas komprehensif mempromosikan sadar sehat reproduksi
-1,tulis opini media inspirasi tutup debat ayah meja makan ayah ulang kali bilang pilih jokowi otot anak fisip pilih prabowo
0,sifat culas
0,pokok baik prabowo deh baik
0,mukidi junjung marah lo anak wakil prabowo pikun
0,ganjar baki gama sat set bantu rakyat adil
0,sabar lihat debat putar anies ganjar prabowo kasihan keteter
0,iya heran paham sih situasi tahu joget
0,gus muhaimin malam bangga bangga bangga anies sc video
1,dekat ganjar mahfud masyarakat hasil bija cermin butuh riil dukung tumbuh ekonomi hebat sat set
1,ganti gibran prabowo hormat negarawan ragu cinta bangsa negara pilih kalah hormat menang cela menang hormat
0,duh prabowo oke deh pokok baik
1,misi anies muhaimin inisiasi program pendidikan lingkung sekolah kenal pola hidup ramah lingkung motivasi partisipasi aktif siswa pelestarian lingkung
0,prabowo sabar aduh buta mata
0,salah pilih nama tim badan menang tim kampanye nasional timnas anies pimpin kepala pelatih asisten pelatih total sepak bola tampil timnas debat gila
-1,anies menang debat tiga netizen unggul anies
0,kayak papua gampang oposisi dikapitalisasi gerindra calon anies lupa
0,catat mahkamah konstitusi
1,ganjar mahfud anggap pasang hadir sinergi efektif perin rakyat kelola apbn apbd top sat set
1,salam ubah akal sehat orang cerdas waras pilih anies muhaimin
0,biar hidup
0,desak anies acara jam iya
0,narasi sampah anies ganjar kritik kinerja prabowo menhan rundung gibran
1,lanjut ganjar mahfud perintah jamin indonesia main utama arena dagang global top sat set
0,biar samsul om prabowo lempeng jalan putar
0,main bola nama nenek nya buffon sih gibran
0,bang fahri bang fahri tenang bang bang kiai pidana coba survei salat amin amin anies muhaimin
0,kreativitas dukung komunitas kemudi truk alas roban kabupaten batang ganjar mahfud ganjar nomor i ganjar memahfud ganjar bersih kuat kpk hebat ganjar presiden lanjut bansos rakyat
0,investor asing maksud junjung celurut celurut iya sambung pajak gemuk hewan kebun binatang junjung omong celurut tweet semenjak gabung prabowo mbak
-1,anies butuh jabat capres lumayan debat ha
1,ganjar mahfud sat set sat set mantap
0,cocok tinggal anies muhaimin ganjar mahfud prabowo notabene pilih sapa cari sesuai dengan kutat gambar merek sila coba
0,insya allah anies muhaimin menang amin iya rabbal alami
1,pilih iya anies muhaimin
0,ganjar pranowo gandeng riset ipb sat set wujud daulat pangan zulkifli hasan rosalia indah po bus bawaslu cctv
0,anies baswedan muhaimin iskandar
-1,prabowo pendidikan tengah ha
0,pilih capres model katai gaza begitu maaf ruang klarifikasi maaf guna pilih cc komendan tim ingat iya
-1,untung meja
1,kak moga prabowo gibran menang
0,gibran awur inflasi hijau kuasa
0,anies ganjar muhaimin pantar ugm dukung aktivis pantar ugm dadang afnan denny balas jek faisol john tobing dkk iya amin ganjar daki gunung sepeda kuliah partai demo
0,receh direspon gimik rendah nama hina akademik tuju sanggah gibran niat elaborasi pengetahuan paham hafal
-1,malu muhaimin inkonsisten
0,salah mah atur presidensial ambang sengaja pelihara parpol berengsek bayang presidensial ambang jadi anies debat gita wirjawan pas debat capres gilir debat cawapres susi pudjiastuti debat jonan
1,keberpihakan ganjar mahfud petan nelayan tingkat tahan pangan maritim juara
0,lo jeng rangkai pecinta literasi degradasi anies cc
0,inkompeten iya bilang dukung inkonstitusional
0,lurus kak debat malam anies garis perbaikan negara budaya anies paham konsep budaya holistik cmiw iya
0,gibran bin sombong enak iya baca catat
1,pimpin buka ganjar mahfud bawa transparansi akuntabilitas kelola dagang juara sat set
0,tagar penuh buzer buzer sudut gus muhaimin iya robot robot sungguh sebal coba tutup informasi gema nusantara desak anies kali total politik
1,sukses gus muhaimin iskandar calon wakil presiden ri
0,original marah marah zon
1,ganjar menang prabowo gabung prabowo menang pdip gabung prabowo bukti tinggal sibuk suci ucap kasar puja puji
1,dukung pks anies muhaimin dorong kuat juang hak hak perempuan anak anak pilih pks coblos amin
1,debat tiga capres awal anies muhaimin larang masuk brimob
1,ganjar mahfud calon pimpin solusi cerdas sehat mental visi misi ganjar memahfud
0,kui rungoke mas
0,pimpin ganjar mahfud ekonomi rakyat teori amalia nyata top
1,ganjar mahfud hadir harap bawa ubah positif tangan sehat mental indonesia visi misi ganjar memahfud
1,buka ganjar mahfud pasu cipta bija dagang basis butuh nyata juara
0,hadir debat cawapres menteri bahlil gibran dua
0,mantap gus muhaimin
0,alumni alumni universitas hasanuddin unhas dukung pasang prabowo subianto gibran rakabuming raka
0,dukung bilang anies b bangsat trilliun anies b sih trilliun iya ngeri iya etik anggap remeh forum resmi teriak nir etik
0,anies prabowo gabung menteri kompetitor
0,minggir wir anies
1,wes mantap putra madura mahfud cawapres idola visi misi rekam jejak wes memahfud wae wapresnya ganjar memahfud sat set sat set
1,calon presiden wakil presiden nomor urut anies baswedan muhaimin iskandar lokasi debat tiga istora senayan jakarta pusat
1,gus muhaimin mantap
0,orang kapabel anies pilih rakyat sia sia tolong tuhan negeri tuhan tolong anies entas negeri rakyat pilih negeri beranta
1,maju anies sosok pimpin harap bangsa
0,ayo gus muhaimin pasti bangun indonesia desa
-1,cak imin ajar cengengesan melulu beban anies naik elektabilitas beranta kualitas kalah anak kemarin sore untung anies baswedan cerdas pajang
0,mas ayah prabowo ajar anies antangin manusia level rendah
0,mahfud md tonjol target tumbuh ekonomi persen debat cawapres
1,ganjar mahfud sosok inspirasi anak muda kontribusi positif bangun negeri ganjar memahfud sat set
0,amin haru dukung ganjar mahfud peduli rakyat visi misi rasional
0,ganti om anies anies
-1,kejar jabat suka serang anies baswedan ganjar mas ppp pecah waras mesti pilih pasang nomor ganjar kemlinthi anies ngeri ganjar
1,bicara pakai data anies keren
0,inti mah mengerti warga bumi anies cita cita dpr
0,debat malam panggung kuasa
0,dukung ganjar anies tiktok bawa narasi indonesia penuh mukbang ejek prabowo
1,proyek ganjar salah orang masuk proyek strategis nasional mana psn pemda tiktok ganjar bilang wadas selesai urus jernih
1,ganjar mahfud cipta hubung erat perin masyarakat langkah bija juara sat set
1,pica bosku yasin kaleng kaleng
0,sedih prabowo
0,rundung teman teman tuju orang wakil rakyat kuasa dukung
0,ini demokrat tum ganti gibran biar dukung lanjut
0,tipe orang susah nasihat judi mabuk dukung prabowo bodoh hakiki
0,calon wakil presiden cawapres nomor urut muhaimin iskandar cak imin investasi salah tumbuh ekonomi sumber
0,anies layak menang debat capres sisi prabowo lucut bidang sesuai tema debat jabat menhan aktif salah calon paslon bagus pekerjaan abah anies
0,nilai debat tempat menhan nya lahan ribu hektar prajurit rumah beli pesawat bekas cari makam orang hilang liar si gibran mah hina orang tua anies ganjar liar capres idam
1,ganjar mahfud optimal potensi pariwisata dukung utama dagang ekonomi nasional top
0,ayun pilih mantap sesuai hati pikir riset pribadi rekam jejak visi misi debat kampanye putus dukung paslon amin anies baswedan muhaimin iskandar
0,ter anies anies mah bismillah
0,putar apa hebat apa fasilitas anak tinggal negara adab
1,dekat ganjar mahfud masyarakat kuat legitimasi bija dagang implementasi hebat
0,urus pribadi prabowo malu nilai rendah puas
0,debat kali bilang tinjau kinerja prabowo menhan anies bilang jabat memenh bicara ikuti acara debat capres malam
0,kasihan prabowo opini nya jelek ha
1,suka gaya saudara anies mantap
1,main bola gaya catennacio italia pakai anies main tahan santai bola kepemilikan menang butuh gol gigit dapat gol menang
0,tambang ilegal izin iya
0,bela anies
-1,forum debat domain anies kemarin malam tanya tampil anies kemarin suara muas masturbasi dukung tweet
-1,lawan anies muhaimin prabowo ganjar kpu bawaslu desain
0,rekam jejak sosok negarawan nama video saksi arif beliau
0,prabowo ungkit jasa naik anies gubernur kemarin khianat sikap orang sebal dendam maklum kemarin khianat anies tekad capres prabowo capres buka buka deh
0,ganjar tegas sih
1,gus muhaimin bagus beliau jelas sgie salah calon pimpin sambung angkat jempol gus memuhaim
0,anies muhaimin insya allah amin
0,buka hubung israel zionis lihat teman bunuh massal bunuh anak anak jajah bantai orang salat masjid todong senjata hilang akal nurani sih benar
0,warga ajak ganjar mahfud sosok bicara tindak kebaikan top sat set
1,anies ganjar sikap sombong celangak celinguk
1,program program jokowi lanjut prabowo gibran
-1,ganjar setir mega
0,ganjar senang nikmat durian wonosobo moga
0,nyata muncul akun kali anies sabda
0,aneh orang jeblos penjara gara gara tweet presiden eh bisa belok dukung jeblos logika pikir rusak
0,kali anies jebak capres buzer
0,jam malam tidur ha ha santai santun pilih anies muhaimin
0,lanjut ganjar mahfud juang adil dagang cipta percaya mata pelaku usaha top
0,sejarah negara indonesia presiden kualitas nya hebat anies baswedan mutu pendidikan nya mumpuni hebat agama nya taat alam dunia hati nya badan nya sehat kuat samson ganteng
0,petugasnya jokowi bang koalisi prabowo gibran petugas jokow bang
0,tanda nama sayur asam
0,nusron tonton tidur pas prabowo salip anies
0,oma utas nitnot lestari paham hukum ketawa gen jurus fakultas hukum oma dasar produk hukum etika gibran legitimasi etika joget gemoi nya
0,sok asyik
0,muhaimin gibran proyek masuk solo
0,gibran sepenuh bangun ikn apbn sisa swasta asing sesuai ideologi prabowo berdikari sesuai kata prabowo butuh campur tangan asing
0,tuju kacang lawan puja sorak gembira maaf tanya sulit sombong
1,solo maju kota jakarta kerja keras mas gibran jabat walikota solo
0,ha tinggal nyinyir nya gilir lapang rujak habis habis tinggal buzer kerja fitnah
1,anies cak imin tampil papar gagas lugas junjung etika proses langsung debat
0,anies salah pilih cak imin
0,main politik paslon aing alih dukung ganjar anies lolos putar kali
1,masyarakat sadar ganjar mahfud bawa ubah negeri
0,deh nama ilmu konteks ujug ujug tanya langkah gus muhaimin naik peringkat indonesia sgie minimal kasih panjang sgie
-1,gemoinya prabowo hilang emosi iya ini konsultan filipinanya watak
0,indonesia maju lanjut prabowo mas gibran
0,titip salam tolong doa amin anies muhaimin menang putar insya allah doa orang orang ijabah allah swt
1,iya anies bebas man janji nya selesai ayo pindah hidup semangat anies
0,gibran debat ucap salam agama kalang mahfud sapa islam amin sapa islam kristen debat selamat natal kristiani gibr nasionalis ubah pikir coblos
0,serba serbi dukung relawan simpatisan amin anies muhaimin kampung susun akuarium penuh spanduk tren kali tren muncul ganti relawan amin keren
0,rendah orang tua orang jasa contoh anies prabowo
0,rumah pilih anies hasil bawa teman pilih beliau
1,sakit hati energi dendam prabowo subianto
0,prabowo kalah joget lanjut senyum senyum
