full_text,sentiment,word_count,text_preprocessed
Kalo saya sih membaca pesan apa yg di lakukan pak ganjar di debat semalam adalah #TenggelamkanPrabowoGibran bareng2 ,0,17,sih baca pesan laku ganjar debat malam bareng bareng
@Dahnilanzar @jokowi @prabowo @gibran_tweet Sangat wajar orang kawatir negara dipimpin oleh orang yg tdk mengerti etika. Justru pemakzulan adalah hal yg dibolehkan okeh konstitusi. Yg tdk boleh usia belum cukup jd cawapres.,0,28,wajar orang khawatir negara pimpin orang mengerti etika makzul boleh oke konstitusi usia cawapres
Anies emang beda kelas dari Muhaimin.,0,6,anies beda kelas muhaimin
Udah lihat dua atau tiga TikTok politik Indo yg bilang kalo Anies ngomongnya susah dimengerti. Serius? Jujur pengen tahu salah satu contoh yg susah dimengerti apa.,-1,26,lihat tiktok politik indonesia bilang anies omong susah mengerti serius jujur salah contoh susah mengerti
@PartaiSocmed Provokator kelas teri...anies itu sdh teebukti di dki mengayomi semua agama. Jadi klo jualannya seperti basi kalee..sorry yee sorry..,0,19,provokator kelas teri anies bukti dki ayom agama jual basi kali sori hore sori
@ganjarpranowo Sangat Menyeluruh memang temuan pas kampanye tidak bakal sama dgn Pak Anies. Itu lumrah. Tapi saya sangat appreciate bahwa Pak Ganjar berdebat dalam konteks yg selalu meyakinkan sisi kemanusiaan saya bahwa BUDI PEKERTI adalah salah satu aspek penting.,0,38,temu pas kampanye anies lumrah harga ganjar debat konteks sisi manusia budi pekerti salah aspek
@BosPurwa @dr_tompi si tompi mungkin pas pipis setelah sebelumnya prabowo merendahkan anies dgn pernyataan bahwa tanpa dirinya anies tak mungkin jadi gubernur.,0,20,si tompi pas pipis prabowo rendah anies nyata anies gubernur
@awemany Nunggu panggungnya gibran mas bikin stand-up,0,6,tunggu panggung gibran mas bikin diri
@yusufagro @prabowo @aniesbaswedan @AgusYudhoyono @andre_rosiade @BANGSAygSUJUD @Kimberley_2024 @Chavesz08 @G0mb4k @Gerindra @anisabayan1 @_kiranalara @datuakrajoangek Hanya anis yang bisa kerja kerjanya ngibulin orang,1,8,anies kerja kerja kibul orang
#AminAjaDulu Tetep GIBRAN Gerakan Indonesia Bersama Anies BASWEDAN ️,0,8,gibran gerakan indonesia anies baswedan
@Muhammad_Saewad @aniesbaswedan @cakimiNOW @prabowo @gibran_tweet @ganjarpranowo @mohmahfudmd Bismillah,0,1,bismillah
@aniesbubble closing statement yang luar biasa ga kerasa udah debat yang terakhir aja. 14 Februari jangan sampai salah vote no 1 ANIES-MUHAIMIN. #AForEvery1 #AniesFinalStage,0,21,tutup nyata rasa debat februari salah pilih anies muhaimin
@aniesbaswedan Subhanalloh Pak Anies.semoga Pak Anies dijadikan presiden oleh Alloh swt dan semoga di cintai semua rakyat,1,16,subhanallah anies moga anies jadi presiden allah swt moga cinta rakyat
@MasdiSuwandi @tvOneNews @andre_rosiade @Fahrihamzah @habiburokhman @Herzaky__MP @AgusYudhoyono @SBYudhoyono @fadlizon @gibran_tweet @jokowi @kaesangp Harusnya lu mention ini juga bro ---&gt; @zarryhendrik,0,7,saudara
@Melihat_Indo Kita punya Ganjar-Mahfud yang akan jauh lebih baik lagi,1,9,ganjar mahfud
Gibran: Gus Muhaimin ini lucu ya Cak Imin: Memang️,0,9,gibran gus muhaimin lucu iya cak imin
Pasca debat Cawapres pasangan nomor urut 1 Anies Baswedan dan Muhaimin Iskandar berkunjung ke rumah wakil Presiden 10 dan 12 Jusuf Kalla di Jalan Brawijaya Jakarta Selatan. Jumat (22/12). Adp #BeritaElshinta https://t.co/xI2kAuepfN,0,30,pasca debat cawapres pasang nomor urut anies baswedan muhaimin iskandar kunjung rumah wakil presiden jusuf kalla jalan brawijaya jakarta selatan jumat adp
@denmaspudji Anies petarung sejati... Meng KO si GEMOY ,1,7,anies petarung sejat meng si gemoi
@L_Ceptinika6901 @Muhamma68521852 @Yurissa_Samosir @AdamVelcro @AdeDhani9 @AkalSehat2024 @aking_adit @chaidar_2000 @Kang_Toniee @NohCeukenohhh @choymarkochoy @mustafaagus007 pendukung samsul ini gabisa ngerti etika debat ya? samsul lagi-lagi mengintimidasi lawan dengan istilah asing sementara udah jadi aturan KPU kalo ada istilah asing ya dijelaskan maksudnya apa. yg dilakukan anies juga bentuk kritik bukan ngata-ngatain orang goblok,0,39,dukung samsul mengerti etika debat iya samsul intimidasi lawan istilah asing atur kpu istilah asing iya maksud anies bentuk kritik katai orang bodoh
Ganjar-Mahfud mengusulkan perubahan pada Direktorat Jenderal Pajak agar lebih bersahabat dan mudah dimengerti oleh masyarakat. @skzsqr Juara ! Sat Set https://t.co/nqddr3P07D,1,19,ganjar mahfud usul ubah direktorat jenderal pajak sahabat mudah mengerti masyarakat juara sat set
@siregar_elang Apa sih yg ditakutkan dr seorang Alam? Oh iya Capres yg sono gk punya spt Alam. Cawapres nya bahkan sbnrnya baru selevel Alam. Istri dan Putra Ganjar adalah penentu arah kemenangan Ganjar Mahfud.,0,33,sih takut alam oh iya capres alam cawapres nya level alam istri putra ganjar tentu arah menang ganjar mahfud
Komisi Pemilihan Umum (KPU) RI telah menerima pendaftaran tiga bakal pasangan capres-cawapres yakni Anies Baswedan-Muhaimin Iskandar #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto,0,18,komisi pilih kpu ri terima daftar pasang capres cawapres anies baswedan muhaimin iskandar prabowo subianto
@ganjarpranowo Tapi saya memang mengakui kinerja pak Ganjar karena semua sdh terbukti kebijakan yg pak Ganjar ambil selalu melibatkan banyak orang dan memberikan manfaat buat rakyat sendiri ,1,26,aku kinerja ganjar bukti bija ganjar ambil libat orang manfaat rakyat
@Nikmatul_Sg @ganjarpranowo Mantap nih .dukung pak ganjar untuk kesejahteraan nelayan dg menghapuskan Kredit macet nelayan,1,13,mantap ini dukung ganjar sejahtera nelayan hapus kredit macet nelayan
Keberhasilan Ganjar-Mahfud dalam memahami intricacies hukum dan ekonomi menjadi keunggulan kompetitif mereka dalam mengemban tugas kepemimpinan. @peweaJ Top ! Sat Set https://t.co/174gIW5wml,1,21,hasil ganjar mahfud paham seluk beluk hukum ekonomi unggul kompetitif mengemban tugas pimpin top sat set
Ganjar borong dagangan milik seorang lansia https://t.co/zEfocod71H,0,6,ganjar borong dagang milik lansia
@NasDem Kompensasi karena gak bisa jawab...waktu Prabowo digituin kau kmana...gigi kau,0,10,kompensasi prabowo begitu mana gigi
@Miduk17 Yang terbaik dalam debat malam ini adalah Profesor Mahfud MD disusul Goktor Muhaimin. Yang paling buruk sampai kayak buta huruf ya Gibran. Buktinya pas closing statement Gibran ga baca sendiri krn buta huruf kan ijazahnya palsu.,0,36,baik debat malam profesor mahfud md susul doktor muhaimin buruk buta huruf iya gibran bukti pas tutup nyata gibr baca buta huruf ijazah palsu
@Nikmatul_Sg Luar biasa merahnya bendera PDI-P... membuat tambah semangat dukung pak Ganjar-Mahfud,1,11,merah bendera pdi semangat dukung ganjar mahfud
Ganjar - Mahfud Prabowo - Gibran Anis - Muhaimin OTONG KOIL FOR PRESIDENT #staysingL,-1,13,ganjar mahfud prabowo gibran anies muhaimin otong koil presiden
@Nikmatul_Sg Merah bukti melambangkan keberanian semangat trs untuk pak Ganjar Pranowo dan Mahfud MD,1,13,merah bukti melambang berani semangat ganjar pranowo mahfud md
@are_inismyname @zarryhendrik @seeksixsuck @kurawa @P4P4B0W0_2024 @99propaganda @Ndons_Back @Bank_Joee_ @BANGSAygSUJUD @florieliciouss @Kimberley_2024 Seorang pemimpin tidak harus nyerang personal kl nyerang personal dia terbukti karakter jahat.. Kl nanti jadi presiden rakyat kritik di bungkam pasti itu.. Untung pak prabowo tidak menggambarkan bgt.. Salut.. Oia berdua ngomong nilai pertahanan kita d bawah sungguh picik,0,39,pimpin serang personal serang personal bukti karakter jahat presiden rakyat kritik bungkam untung prabowo gambar salut oh iya dua omong nilai tahan sungguh picik
Program Anies-Muhaimin: Meningkatkan akses layanan kesehatan ibu dan anak memperhatikan asupan gizi yang sehat dan mendukung perawatan prenatal dan postnatal. #AMINku01 #AMINAjaDulu,1,21,program anies muhaimin tingkat akses layan sehat anak perhati asupan gizi sehat dukung awat pre natal pos natal
@jr205newlivery Nope. Di survey 02 unggul di Jabar. Kayaknya isu Anies ga terlalu ngaruh di akar rumput.,-1,16,survei unggul jabar kayak isu anies pengaruh akar rumput
Peningkatan kesejahteraan masyarakat menjadi tujuan utama dalam rencana Ganjar-Mahfud terkait reformasi perpajakan. @suak_aldo Top ! Sat Set https://t.co/sWjllUwiI6,1,16,tingkat sejahtera masyarakat tuju utama rencana ganjar mahfud kait reformasi paja top sat set
@mengkudurobusta @gara_nam Mana bagian personal yang diserang Anies?,0,6,personal serang anies
Program Anies-Muhaimin: Memperkuat akses layanan kesehatan di daerah terpencil mendukung tenaga medis lokal dan memberikan insentif bagi pelayanan medis di daerah terisolasi. #AMINku01,1,22,program anies muhaimin kuat akses layan sehat daerah pencil dukung tenaga medis lokal insentif pelayanan medis daerah isolasi
@tvOneNews Lihat lg rekamannyanya Jgn jd tukang fitnah. Prabowo habis dalaman dgn ganjar keluar panggung saat Anies mulai mendekat ke Ganjar. Bahkan moderator sampai teriak2 minta Prabowo kembali ke panggung.,0,30,lihat rekam tukang fitnah prabowo habis dalam ganjar panggung anies dekat ganjar moderator teriak teriak prabowo panggung
@Sang_Tadulako @Fahrihamzah Catet ya denmas @gibran_tweet jangan samain mental ngurus negara sama mental ngurus bisnis es doger.,0,14,catat iya denmas sama mental urus negara mental urus bisnis s doger
@alextham878 Yah itu lah cawapresnya ANIES padahal Capresnya Ahli kritis cerdas dosen lagi punya Cawapres senyam senyum tau2 oon padahal lebih tua dan pengalaman tau2 malu2 in .Dilihat seluruh Indonesia kalah telak dengan Samsul alias mlimbing sayur yg manfaatnya banyak.,0,42,iya cawapresnya anies capresnya ahli kritis cerdas dosen cawapres senyam senyum bodoh tua alam malu malu indonesia kalah telak samsul alias belimbing sayur manfaat
@ekokuntadhi1 Suruh Gibran Ikuti Emak (SGIE) lalu cak imin jawab cerita tentang putusan 90 MK gibran jadi malu deh gibran nanya SGIE persis anak SD mainan tebak2an kata gibran cawapres mutu rendah ngacir saja melulu diinterview wartawan gibran pidato semalam persis hafalan buku,0,43,suruh gibran ikuti emak sgie cak imin cerita putus gibr malu deh gibr sgie persis anak sd main tebak tebakan gibr cawapres mutu rendah kacir wawancara wartawan gibr pidato malam persis hafal buku
@Gus_Raharjo Waduhh waduh saya si tetep ganjar,0,6,aduh si ganjar
Keberhasilan Pak Mahfud dalam mengungkap kasus pencucian uang senilai Rp349 triliun di Kementerian Keuangan menunjukkan komitmen Ganjar-Mahfud terhadap integritas dan kebersihan keuangan negara. @putriardani24 Juara ! Pasti Lebih Baik https://t.co/l4D0sW1sHT,0,28,hasil mahfud ungkap cuci uang nila rupiah triliun menteri uang komitmen ganjar memahfud integritas bersih uang negara juara
@is_isme @PartaiSocmed Gw pilih Mz Anies yg dh jelas kinerjanya moga menang .. AAMIIN..,1,12,pilih mas anies kinerja moga menang amin
Program Anies-Muhaimin: Merampingkan birokrasi meningkatkan layanan publik dan mengimplementasikan teknologi dalam administrasi negara. #AMINku01,1,13,program anies muhaimin ramping birokrasi tingkat layan publik implementasi teknologi administrasi negara
@Resty_J_Cayah Sama gw jg terus promosi ke org2 terdekat gw meskipun banyak yg masih anti Anies. Gw jg dl anti Anies tp yg tengah itu parah luar biasa. Jd 01 atau 03 pasti lebih baik utk Indonesia. Maju Pak Anies Maju Pak Ganjar,0,43,promosi orang orang dekat anti anies anti anies parah indonesia maju anies maju ganjar
@Bungdony @AlissaWahid Semoga Ganjar Mahfud yang menjadi Presiden RI 2024,1,8,moga ganjar mahfud presiden ri
@Nikmatul_Sg Pilih dengan hati pilih yang baik! Ganjar-Mahfud tandem hebat untuk kemajuan bangsa. 🇮🇩,1,13,pilih hati pilih ganjar mahfud tandem hebat maju bangsa
@Indonesiaguyub @zy_zy_its_me Bu Ganjar orang baik utk Indonesia Lebih Baik #atikoh,0,8,ganjar orang indonesia
@ainunnajib Yaa Allah jadikanlah para korban di Gaza sebagai orang-orang yang sahid di jalanMu. Tolonglah rakyat Gaza &amp; Palestina kuatkanlah Iman &amp; perjuangannya serta berilah Mereka kemenangan.,0,27,iya allah jadi korban gaza orang orang sahid jalan tolong rakyat gaza palestina kuat iman juang ilah menang
Ganjar Mahfud adalah kombinasi sempurna untuk membawa Indonesia ke arah yang lebih baik khususnya bagi yang membutuhkan perlindungan @mutiaravrae16 VisiMisi GanjarMahfud https://t.co/2VeazOUTWZ,1,20,ganjar mahfud kombinasi sempurna bawa indonesia arah butuh lindung visi misi ganjar memahfud
@indozonemedia Sejak Gibran menjabatbjadi walkot solo perkembangan solo makin pesat,1,10,gibran jabat walikota solo kembang solo pesat
Eh ternyata nyindir gw nih pak anies,0,7,eh sindir ini anies
Kebersamaan PKS dengan Anies-Muhaimin adalah harapan besar untuk mewujudkan cita-cita luhur bangsa ini. #PKSmenangAMIN PilihPKS CoblosAMIN,1,16,sama pks anies muhaimin harap wujud cita cita luhur bangsa pilih pks coblos amin
Melalui sinergi Ganjar-Mahfud masyarakat optimis bahwa anggaran negara akan dioptimalkan untuk mendukung program-program pro-rakyat. @Yuliant75509429 Top ! Pasti Lebih Baik https://t.co/vMCXZ02YXf,1,19,sinergi ganjar mahfud masyarakat optimis anggar negara optimal dukung program program pro rakyat top
@kursi_tribun @adipat1_karno Gas gua ikutan dukung Prabowo Gibran cukup jadi capres cawapres saja. Dengan mencoblos Anies muhaimin di TPS 14 Febuari 2024 ️,0,21,gas ikut dukung prabowo gibran capres cawapres coblos anies muhaimin tps februari
@SINDOnews Lanjutkan pak Ganjar Mahfud.. gass,0,5,lanjut ganjar mahfud gas
@okezonenews semangat pak Ganjar Mahfud semoga sehat selalu dan menjadi pemimpin yang baik untuk Indonesia M3nang total nomor 3 ,0,18,semangat ganjar mahfud moga sehat pimpin indonesia menang total nomor
@Akhmad67523072 Ganjar Mahfud untuk Indonesia 🇮🇩 https://t.co/een2jTgtLu,0,5,ganjar mahfud indonesia
@aniesbaswedan Suka banget sama cara bicara pak anies,1,7,suka bicara anies
@ChristalMurra16 @muannas_alaidid ngeri yaa padahal mereka juga kemaren ga sopan sama pak Prabowo wkwkw ga pernah ngaca gitulah terus ngomongin etika dengan ngehina paslon lain aja udh menggambar etika kalian mending koreksi diri deh.,0,32,ngeri iya kemarin sopan prabowo ha kaca omong etika hina paslon gambar etika mending koreksi deh
@beathinggg Mahfud-gibran,0,1,mahfud gibran
@cakimiNOW @aniesbaswedan Sukses Pasangan Anies-Muhaimin PKB,1,4,sukses pasang anies muhaimin pkb
@CNNIndonesia Semangat bu berjuang untuk Ganjar-Mahfud,0,5,semangat juang ganjar mahfud
@ganjarpranowo @novelineputrii keren banget deh 03 ganjar mahfud seru banget liatnya,0,9,keren deh ganjar mahfud seru lihat
Prabowo nilai Anies tidak berhak bicara soal etik https://t.co/xrNtxWxp2e,0,8,prabowo nilai anies hak bicara etik
@nir12345535 Ahok kan udh dikalahin sm Anies,1,6,ahok kalah anies
 Semua sudah tahu kalau Jokowi dukung Prabowo-Gibran. Mustahil dukung Ganjar-Mahfud apalagi dukung Anies-Muhaimin ujar Adi. #IndonesiaSentris #IndonesiaHijau #02Melanjutkan #AnakMudaIndonesiaEmas Prabowo Subianto,0,17,jokowi dukung prabowo gibran mustahil dukung ganjar mahfud dukung anies muhaimin adi prabowo subianto
@cute_julianna Gibran: Bagaimana meningkatkan peringkat Indonesia di SGIE? Muhaimin: Caranya adalah dengan NMJH BHA BGH ? Gibran: Apa itu Gus? Muhaimain: Masak anda yang bertanya malah ga tau ,0,27,gibran tingkat peringkat indonesia sgie muhaimin nmjh bha bgh gibr gus memuhaim masak
Program Anies-Muhaimin: Meningkatkan akses terhadap layanan kesehatan reproduksi bagi remaja memberikan edukasi seksualitas yang komprehensif dan mempromosikan kesadaran akan kesehatan reproduksi. #AMINku01,1,21,program anies muhaimin tingkat akses layan sehat reproduksi remaja edukasi seksualitas komprehensif mempromosikan sadar sehat reproduksi
Di tahun 2014 pernah menulis opini di media karena terinspirasi cover ini. Masih ingat betul bagaimana di tahun itu pernah berdebat dengan Ayah di meja makan. Ayah saya berulang kali bilang Jangan pilih Jokowi! sedangkan saya ngotot Anak Fisip ga mungkin pilih Prabowo! .,-1,44,tulis opini media inspirasi tutup debat ayah meja makan ayah ulang kali bilang pilih jokowi otot anak fisip pilih prabowo
@Dahnilanzar @prabowo @gibran_tweet Sifat CULASnya sudah terlihat sejak dini,0,6,sifat culas
@pinterpolitik Pokoknyaa yang terbaik cuman ada di pak Prabowo dehh terbaik,0,10,pokok baik prabowo deh baik
@detikcom Jgn gitu pak nanti mukidi junjungan bpk marah loh kan anaknya jd wakil bpk skrang kyknya pak prabowo mulai pikun.,0,20,mukidi junjung marah lo anak wakil prabowo pikun
Ganjar Minta BAKI GAMA 03 Sat Set Bantu Rakyat Dapat Keadilan #LanjutGAN #LanjutGANsemuakerja #LanjutGANsemuamurah #GanjarSikatKorupsi #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #IndonesiaLebihBaik https://t.co/Su2UpBz9gl,0,11,ganjar baki gama sat set bantu rakyat adil
@Kimberley_2024 Nggak sabar liat debat putaran ke 2 antara Anies dan Ganjar....klo Prabowo ksian keteteran...,0,14,sabar lihat debat putar anies ganjar prabowo kasihan keteter
@FIndradata @theo12_ini @gibran_tweet Iya heran mereka paham ga sih sm situasi saat ini? Apa mereka taunya joget aja?,0,15,iya heran paham sih situasi tahu joget
 Ada tiga kata atas apa yang dikerjakan Gus Muhaimin malam ini. Satu bangga dua bangga tiga bangga - Pak Anies sc video : @imanlagi https://t.co/9OJbXJCpsI,0,23,gus muhaimin malam bangga bangga bangga anies sc video
Kedekatan Ganjar-Mahfud dengan masyarakat akan menghasilkan kebijakan yang mencerminkan kebutuhan riil dan mendukung pertumbuhan ekonomi. @UmarAbdurrozak Hebat ! Sat Set https://t.co/fqhb0419AI,1,19,dekat ganjar mahfud masyarakat hasil bija cermin butuh riil dukung tumbuh ekonomi hebat sat set
@tvOneNews Masih ada waktu utk menggantikan gibran prabowo terhormat sebagai negarawan itu tdk boleh ada keraguan yg cinta pada bangsa dan negara pilihannya kalah terhormat menang tercela atau menang terhormat,1,29,ganti gibran prabowo hormat negarawan ragu cinta bangsa negara pilih kalah hormat menang cela menang hormat
@suaradotcom Duhh pak Prabowo selalu ok dehh pokoknyaa terbaik,0,8,duh prabowo oke deh pokok baik
Misi Anies-Muhaimin: Menginisiasi program pendidikan lingkungan di sekolah memperkenalkan pola hidup ramah lingkungan dan memotivasi partisipasi aktif siswa dalam pelestarian lingkungan. #AMINku01,1,21,misi anies muhaimin inisiasi program pendidikan lingkung sekolah kenal pola hidup ramah lingkung motivasi partisipasi aktif siswa pelestarian lingkung
@Gi_Grey Prabowo sabar!!??waduh buta matamu,0,4,prabowo sabar aduh buta mata
@saannnsssssss @kepinginpintar @imanlagi Gak salah jika Pemilihan Nama tim bukan Badan Pemenangan atau Team Kampanye Nasional melainkan TIMNAS Anies dan dipimpin oleh seorang Head Coach dan Asisten Coach. Betul betul TOTAL FOOTBALL penampilan Timnas ini di Debat 1. Gokil ,0,36,salah pilih nama tim badan menang tim kampanye nasional timnas anies pimpin kepala pelatih asisten pelatih total sepak bola tampil timnas debat gila
@xquitavee @prabowo Anies Pemenang Debat Ketiga Menurut Netizen. Apa Keunggulan Anies? https://t.co/yDzUOkxJJO,-1,9,anies menang debat tiga netizen unggul anies
@hplssrmntics Ini kayanya antara yang jawab papua ga segampang itu masalah oposisi dikapitalisasi atau yang gerindra nyalonin Anies. Lupa satu yg mana,0,21,kayak papua gampang oposisi dikapitalisasi gerindra calon anies lupa
@gibran_tweet Yang penting BUKAN CATATAN MAHKAMAH KONSTITUSI :),0,7,catat mahkamah konstitusi
Ganjar-Mahfud dianggap sebagai pasangan yang mampu menghadirkan sinergi efektif antara pemerintah dan rakyat dalam pengelolaan APBN-APBD. @_risaana Top ! Sat Set https://t.co/zZjCFXwF5W,1,20,ganjar mahfud anggap pasang hadir sinergi efektif perin rakyat kelola apbn apbd top sat set
@P3n99u94t_ Salam perubahan dan akal sehat. Orang cerdas dan waras pasti pilih Pak Anis Muhaimin.,1,14,salam ubah akal sehat orang cerdas waras pilih anies muhaimin
@AndikaNgojek @KPU_ID @gibran_tweet @ganjarpranowo @aniesbaswedan Ngga apa apa..biarin..Hiduup @gibran_tweet ️️️️,0,4,biar hidup
@imanlagi WTA BIASANYA DESAK ANIES ACARANYA JAM BRP YA?,0,8,desak anies acara jam iya
@kurawa Narasi sampah. Anies dan Ganjar mengkritik kinerja Prabowo sebagai Menhan. Bukan membully. Apa yang dilakukan Gibran jauh dari itu.,0,19,narasi sampah anies ganjar kritik kinerja prabowo menhan rundung gibran
Keberlanjutan Ganjar-Mahfud di pemerintahan adalah jaminan bagi Indonesia untuk menjadi pemain utama dalam arena perdagangan global. @vitaminkim_ Top ! Sat Set https://t.co/BvTc1wmb8w,1,20,lanjut ganjar mahfud perintah jamin indonesia main utama arena dagang global top sat set
@Sulaya_tweet @gibran_tweet Biarin saja samsul gitu terus dan om wowo gitu terus akan semakin melempengkan jalan; #GanjarMahfudMenang 1 putaran #GanjarMahfud2024,0,16,biar samsul om prabowo lempeng jalan putar
@Dennysiregar7 Katanya pemain bola kok nga tau nama nenek nya buffon sih. Seperti ini gibran dalam memberikan pertanyaan,0,17,main bola nama nenek nya buffon sih gibran
@Fahrihamzah Bang fahriii bang fahriiii tenang bang saja bang ada banyak kiai fidana Coba di survei siapa yg Sholat menjawab AAMIIN lalu ingat AMIN ( Anis Muhaimin) https://t.co/Uf5HxRTQ1I,0,26,bang fahri bang fahri tenang bang bang kiai pidana coba survei salat amin amin anies muhaimin
BiLLRaY2019: LUAR BIASA..! Kreatifitas dan dukungan Komunitas Pengemudi truk Alas Roban Kabupaten Batang untuk Ganjar Mahfud PAK GANJAR NOMER 3 I ️ YOU GanjarMahfud2024 NOOsls29cv GanjarBersih KuatkanKPK Hebat Ganjar Presidenku LanjutGan Bansos Rakyat,0,33,kreativitas dukung komunitas kemudi truk alas roban kabupaten batang ganjar mahfud ganjar nomor i ganjar memahfud ganjar bersih kuat kpk hebat ganjar presiden lanjut bansos rakyat
@are_inismyname @gibran_tweet Investor asing yang di maksud... jan jungjungan sama curut²nya kok gini amat ya?? Pertanyaan sama jawaban gak nyambung ditanya pajak dijawab nggemukin hewan kebon binatang... junjungan yang penting ngomong curut yang penting ngetwit... semenjak gabung prabowo gini amat mbak?,0,40,investor asing maksud junjung celurut celurut iya sambung pajak gemuk hewan kebun binatang junjung omong celurut tweet semenjak gabung prabowo mbak
@Resty_J_Cayah Anies aku gak butuh jabatan tapi aku selalu nyapres terus...lumayan masih bisa ikut debat...kwk..kwk..kwk..,-1,14,anies butuh jabat capres lumayan debat ha
@KompasTV #MahfudLebihBaik Ganjar Mahfud Satset mantap,1,4,ganjar mahfud sat set sat set mantap
Memang sudah cocok jadi timgal 02. Anies - Muhaimin 40% Ganjar - Mahfud 40% Prabowo - NB 20% Buat yg masih belum yakin mau pilih sapa cari yg sesuai denganmu atau masih berkutat dengan image yg terbranding. Sila dicoba https://t.co/Dd2IJTLjqR https://t.co/WsDTkQsLdc,0,39,cocok tinggal anies muhaimin ganjar mahfud prabowo notabene pilih sapa cari sesuai dengan kutat gambar merek sila coba
@PutraErlangga95 ..insyaa Allah Anies-Muhaimin menang...aamiin yaa rabbal 'aalaamiin‼️,0,7,insya allah anies muhaimin menang amin iya rabbal alami
@BosPurwa Pilihan paling tepat ya Anies-Muhaimin ️ https://t.co/wa76WpTTFy,1,6,pilih iya anies muhaimin
Ganjar Pranowo Siap Gandeng Para Periset IPB Sat Set Wujudkan Kedaulatan Pangan. Zulkifli Hasan Rosalia Indah PO Bus Pengen Banget Pak JK Bawaslu CCTV https://t.co/uYkBliIYA3,0,24,ganjar pranowo gandeng riset ipb sat set wujud daulat pangan zulkifli hasan rosalia indah po bus bawaslu cctv
47% - Anies Baswedan - Muhaimin Iskandar https://t.co/qUb01ThUvy,0,7,anies baswedan muhaimin iskandar
@mazdonew @memelord_666666 Prabowo pendidikan menengah bawah???? Hah???? Lo baru keluar dari gua?,-1,10,prabowo pendidikan tengah ha
Jangan pilih capres yang model begini apaan ngatain Gaza sebegitunya @Gerindra maaf ga ada ruang klarifikasi minta maaf pun juga ga ada gunanya Jangan pilih @prabowo CC komendan dulu @erlanishere Team ingetin yak @hapsyd https://t.co/yVoLudCLO6,0,30,pilih capres model katai gaza begitu maaf ruang klarifikasi maaf guna pilih cc komendan tim ingat iya
@mihrabku @prabowo @aniesbaswedan Untung ga ada meja,-1,4,untung meja
@xquitavee Itu lah kak semoga Prabowo / Gibran menang,1,8,kak moga prabowo gibran menang
@erickthohir @prabowo @gibran_tweet Gibran ngaur tanya greenplation dia sendiri ngak menguasai ttg itu,0,11,gibran awur inflasi hijau kuasa
@mrs_enci Anies Ganjar Muhaimin itu sepantaran di UGM. Mau tahu ke mana dukungan aktivis sepantaran mereka dulu di UGM? Dadang Afnan Denny Refly JEK Faisol John Tobing dkk? Ya ke AMIN. Ganjar tak pernah ikut GMNI. Dulu daki gunung &amp; sepedaan. Kuliah dah ikut partai tidak demo.,0,46,anies ganjar muhaimin pantar ugm dukung aktivis pantar ugm dadang afnan denny balas jek faisol john tobing dkk iya amin ganjar daki gunung sepeda kuliah partai demo
@_DeadlyGod_ Yg dikatakan pertanyaan receh adlh ketika sdh dijawab tapi direspon dgn gimmick yg merendahkan. Itu namanya penghinaan utk akademik. Jika tdk setuju bisa disanggah. Tapi Gibran memang tdk berniat utk elaborasi pengetahuan karena dia jg blm tentu paham. Yg dia tau hanya hafalannya,0,43,receh direspon gimik rendah nama hina akademik tuju sanggah gibran niat elaborasi pengetahuan paham hafal
@BBCIndonesia Yang paling memalukan jawaban Muhaimin. Inkonsisten.,-1,6,malu muhaimin inkonsisten
@jahterra salahin mah aturan presidential treshold yg sengaja dipelihara sama parpol brengseks bayangin klo ga ada presidential treshold mgkn bakal kejadian pak Anies debat sama Gita Wirjawan pas debat capres misalnya terus giliran debat cawapres ibu Susi Pudjiastuti debat sama pak Jonan,0,41,salah mah atur presidensial ambang sengaja pelihara parpol berengsek bayang presidensial ambang jadi anies debat gita wirjawan pas debat capres gilir debat cawapres susi pudjiastuti debat jonan
Keberpihakan Ganjar-Mahfud pada petani dan nelayan akan meningkatkan ketahanan pangan dan maritim. @vjmurti Juara ! Pasti Lebih Baik https://t.co/GiPtEoO2wv,1,17,keberpihakan ganjar mahfud petan nelayan tingkat tahan pangan maritim juara
@kikysaputrii Tatatatapi ada lohhh jeng yg perangkai kata² pecinta literasi malah mendegradasikan Anies Cc : @zarryhendrik ,0,15,lo jeng rangkai pecinta literasi degradasi anies cc
@Dahnilanzar @gibran_tweet @prabowo Inkompeten meskipun iya mgkn banyak yg bilang ndak pendukungnya. Kalau inkonstitusional gimna?,0,12,inkompeten iya bilang dukung inkonstitusional
@rantauant Sedikit meluruskan kak saat debat semalam Anies menyebutkan along the lines perbaikan negara dimulai dari kebudayaan so menurut saya Anies sudah cukup memahami konsep kebudayaan secara holistik. Cmiiw ya.,0,29,lurus kak debat malam anies garis perbaikan negara budaya anies paham konsep budaya holistik cmiw iya
Gibran bin Songong: Enak banget ya pak menjawab baca catatan ,0,10,gibran bin sombong enak iya baca catat
